Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
Germany,2023,Fruits & Vegetables,47934.04,50098.02,34.45,164.08,56.89,Keep
USA,2023,Frozen Food,21314.1,23935.46,163.08,482.21,62.02,Keep
Brazil,2024,Dairy Products,4539.78,4398.12,153.06,729.47,66.11,Keep
South Korea,2024,Bakery Items,935.82,926.19,149.58,848.45,53.24,Keep
South Africa,2024,Frozen Food,2950.2,3293.61,53.62,221.09,61.88,Keep
China,2023,Meat & Seafood,15959.71,14776.27,120.64,1363.66,51.99,Keep
Italy,2024,Frozen Food,41621.75,42568.89,187.12,571.31,34.87,Keep
Mexico,2023,Meat & Seafood,5096.32,6100.3,102.1,789.88,67.45,Keep
Australia,2023,Beverages,30967.14,35080.79,25.27,1108.84,50.08,Keep
USA,2023,Dairy Products,1350.66,1486.33,126.25,916.87,45.74,Keep
India,2023,Grains & Cereals,2196.07,1810.24,25.67,169.53,35,Keep
Italy,2023,Beverages,10984.97,13178.29,78.5,320.86,55.25,Keep
USA,2024,Beverages,32046.76,37019.97,102.53,1308.16,33.08,Keep
Japan,2023,Dairy Products,43696.87,35154.77,189.95,907.73,57.32,Keep
Canada,2023,Prepared Food,30183.19,24591.72,115.97,695.44,51.22,Keep
Turkey,2024,Prepared Food,21645.26,18587.6,57.84,1101.87,44.43,Keep
Canada,2023,Meat & Seafood,24769.11,21827.22,114.9,1098.97,38.93,Keep
Italy,2024,Prepared Food,8760.69,8508.18,58.15,1316.45,60.8,Keep
Brazil,2023,Frozen Food,32324.65,34652.36,159.72,387.42,47.87,Keep
Mexico,2023,Beverages,25781.28,22716.09,107.49,47.45,69.31,Keep
Spain,2024,Fruits & Vegetables,8893.76,8935.25,178.61,345.33,38.67,Keep
Mexico,2024,Beverages,5706.66,4808.6,56.84,1042.76,41.37,Keep
Mexico,2024,Fruits & Vegetables,48049.54,43047.97,87,826.01,56.03,Keep
Russia,2024,Bakery Items,32596.97,30241.12,146.23,1260.58,55.28,Keep
Saudi Arabia,2023,Bakery Items,18948.39,17147.31,24.01,891.92,37.56,Keep
China,2023,Bakery Items,42853.92,49497.73,130.67,1040.86,58.34,Keep
Indonesia,2024,Grains & Cereals,26409.46,26058.98,169.86,895.54,47.06,Keep
Russia,2023,Dairy Products,49908.97,54435.3,51.24,832.2,36.05,Keep
Spain,2023,Beverages,24355.91,20283.73,108.7,37.42,31.8,Keep
India,2024,Prepared Food,26860.61,23558.94,110.56,1277.08,40.86,Keep
Mexico,2024,Grains & Cereals,2223.06,2636.22,22.35,128.99,68.1,Keep
USA,2024,Dairy Products,30531.9,27222.3,66.79,18.09,53.13,Keep
Germany,2023,Prepared Food,13477.56,14833.4,132.43,719.6,31.27,Keep
Russia,2024,Bakery Items,43678.73,40983.77,176.71,326.24,34.11,Keep
Spain,2024,Frozen Food,30509.11,31009.16,125.06,1285.88,32.4,Keep
Italy,2023,Prepared Food,15981.86,19043.85,191.24,1338.38,42.45,Keep
Germany,2023,Frozen Food,11184.15,12986.34,180.49,1154.18,65.9,Keep
Japan,2023,Dairy Products,23379.09,20570.08,141.42,579.53,60.32,Keep
Mexico,2024,Dairy Products,40124.91,33316.74,111.39,917.67,56.47,Keep
Spain,2024,Prepared Food,33758.23,37398.9,81.66,115.74,57.86,Keep
Argentina,2023,Prepared Food,42635.97,48447.86,33.33,339.7,34.39,Keep
Spain,2023,Dairy Products,10056.39,10564.4,45.67,1079.49,66.18,Keep
Turkey,2024,Beverages,4702.02,4546.38,199.36,373.62,60.38,Keep
Japan,2024,Bakery Items,43213.81,35272.67,127.87,57.24,50.07,Keep
France,2024,Dairy Products,36879.91,39028.57,32.11,425.66,44.35,Keep
Spain,2023,Grains & Cereals,39658.68,38532.97,106.97,653.25,36.15,Keep
Canada,2024,Prepared Food,48831.48,45814.1,184.3,240.7,34.59,Keep
Brazil,2024,Grains & Cereals,12092.46,10878.27,74.15,359.17,44.27,Keep
Turkey,2024,Fruits & Vegetables,30040.55,35060.51,70.12,851.52,61.42,Keep
Indonesia,2024,Frozen Food,43684.35,50495.65,88.83,250.71,67.41,Keep
USA,2024,Fruits & Vegetables,43881.4,35413.78,108.2,1097.25,57.1,Keep
Turkey,2024,Bakery Items,32356.46,32169.71,153.32,743.25,35.49,Keep
South Africa,2023,Fruits & Vegetables,27944.44,23988.32,188.25,620.77,31.72,Keep
Canada,2023,Fruits & Vegetables,44552.68,51187.91,45.36,281.25,33.74,Keep
Australia,2024,Beverages,15627.62,13532.11,56.23,1002.43,36.9,Keep
South Africa,2023,Fruits & Vegetables,23761.59,22926.52,90.49,726.35,44.46,Keep
Russia,2024,Bakery Items,49583.39,41007.19,160.65,411.06,50.94,Keep
China,2024,Dairy Products,38492.62,35957.74,140.84,562.97,35,Keep
India,2023,Bakery Items,16867.17,15111.95,47.19,1024.52,59.32,Keep
Argentina,2024,Frozen Food,18555.14,19320.52,170.77,609.14,49.21,Keep
Indonesia,2023,Prepared Food,13408.63,13556.12,127.34,556.13,59.11,Keep
China,2024,Beverages,39979.18,45547.1,57.75,615.36,59.99,Keep
Turkey,2024,Prepared Food,25805.54,20723.45,116.33,230.13,42.7,Keep
Turkey,2024,Grains & Cereals,4939.41,4710.95,44.83,943.5,60.5,Keep
Italy,2023,Frozen Food,1833.6,2054.64,64.53,1210.24,57.23,Keep
South Korea,2024,Beverages,6142.25,6736.91,191.9,598.62,37.55,Keep
Italy,2023,Grains & Cereals,4160.38,4534.82,35.85,1361.06,47.91,Keep
Italy,2024,Prepared Food,18217.73,16015.02,155.48,105.41,57.31,Keep
Brazil,2023,Meat & Seafood,2797.59,2471.74,59.14,786.59,47.63,Keep
Italy,2024,Meat & Seafood,30966.7,26421,84.97,333.78,48.28,Keep
Brazil,2024,Dairy Products,11294.47,12771.33,96.39,1131.71,68.15,Keep
Saudi Arabia,2024,Dairy Products,10844.82,11493.09,136.83,253.35,64.22,Keep
Spain,2024,Grains & Cereals,39590.67,40289.66,91.65,211.41,51.45,Keep
UK,2024,Fruits & Vegetables,25000.06,24375.61,63.9,1311.95,38.13,Keep
France,2023,Bakery Items,19860.94,18002.13,197.47,1281.77,49.06,Keep
France,2024,Fruits & Vegetables,10476.49,11197.17,129.51,543.05,38.77,Keep
Australia,2023,Fruits & Vegetables,45663.39,52305.81,26.76,521.62,59.78,Keep
Argentina,2023,Grains & Cereals,8411.76,8059.49,73.43,475.88,51.85,Keep
Saudi Arabia,2024,Grains & Cereals,23330.7,24990.56,104.52,135.39,34.14,Keep
Germany,2024,Frozen Food,33824.82,37275.06,151.76,608.36,41.68,Keep
Indonesia,2024,Meat & Seafood,33443.55,26894.7,118.46,170.33,68.37,Keep
Russia,2023,Prepared Food,40030.58,42681.97,62.25,1202.78,55.35,Keep
Argentina,2024,Beverages,25338.81,28773.74,61.82,697.92,66.87,Keep
USA,2023,Beverages,35957.36,41729.4,198.7,224.1,66.3,Keep
China,2023,Frozen Food,34737.44,36898.57,156.25,347.41,36.67,Keep
Brazil,2023,Meat & Seafood,832.45,735.25,98.17,718.86,43.76,Keep
Australia,2024,Grains & Cereals,7890.78,9058.16,115.83,812.29,39.41,Keep
Brazil,2024,Prepared Food,8845.75,8869.07,130.81,1133.91,35.45,Keep
Saudi Arabia,2023,Bakery Items,46536.4,48535.68,153.28,820.64,50.26,Keep
USA,2024,Grains & Cereals,17934.08,14468.9,165.23,743.25,65.68,Keep
South Africa,2023,Fruits & Vegetables,47213.86,55320.76,20.09,996.68,66.23,Keep
India,2024,Frozen Food,17773.96,14458.37,167.97,197.41,34.79,Keep
Germany,2023,Prepared Food,9619.08,7756.08,34.24,76.2,37.21,Keep
China,2023,Bakery Items,2853.19,2648.01,47.4,930.43,45.92,Keep
Russia,2023,Beverages,1697.55,1700.03,159.52,66.77,62.6,Keep
India,2024,Frozen Food,10539.7,9456.77,135.35,1013.08,59.43,Keep
South Africa,2024,Beverages,35210.4,33667.68,125.58,487.37,63.92,Keep
India,2024,Fruits & Vegetables,32340.21,31002.78,171.31,394.82,50.49,Keep
Australia,2023,Bakery Items,45157,53564.49,115.23,812.87,33.9,Keep
India,2024,Prepared Food,917.16,983.12,151.18,241.65,55.07,Keep
Mexico,2024,Beverages,37067.86,41505.39,100.67,978.64,32.78,Keep
South Africa,2023,Bakery Items,19958,17988.28,191.19,1167.48,30.29,Keep
France,2023,Prepared Food,1329.78,1241.13,197.64,1122.05,37.02,Keep
Italy,2023,Meat & Seafood,40075.57,42113.39,86.45,1316.48,35,Keep
Saudi Arabia,2023,Fruits & Vegetables,7865.27,7212.47,41.79,1300.76,61.53,Keep
Canada,2024,Meat & Seafood,30861.44,33051.89,51.45,1081.13,47.58,Keep
Mexico,2024,Prepared Food,17666.7,18290.14,179.48,609.34,42.01,Keep
Japan,2023,Meat & Seafood,22068.06,25370.79,125.75,1204.48,63.8,Keep
South Korea,2024,Grains & Cereals,18182.49,17421.64,120.88,459.86,37.63,Keep
France,2024,Bakery Items,33678.99,37845.96,182.7,1010.87,33,Keep
Turkey,2023,Fruits & Vegetables,7728.67,6610.72,77.94,1000.73,59.21,Keep
Indonesia,2024,Dairy Products,16939.91,16626.25,173.64,222.19,62.43,Keep
Italy,2023,Beverages,44859.73,53743.68,126.17,611.76,34.67,Keep
South Korea,2023,Meat & Seafood,39542.72,41554.81,30.7,1155.38,55.76,Keep
Russia,2024,Frozen Food,2136.04,2213.57,24.64,1299.3,43.87,Keep
Mexico,2024,Meat & Seafood,30474.95,34692.4,21.06,1315.27,61.48,Keep
USA,2024,Bakery Items,28800.97,25638.14,116.79,574.23,46.81,Keep
Argentina,2023,Beverages,17577.6,21040.48,173.11,258.5,39.16,Keep
Mexico,2024,Prepared Food,44829.03,51182.3,105.46,188.33,36.05,Keep
Russia,2023,Bakery Items,38587.95,36062.72,27.36,346.48,58.68,Keep
USA,2023,Beverages,4411.22,4831.53,94.76,1142.37,39.86,Keep
China,2023,Frozen Food,2117.79,2145.55,127.54,1034.96,45.75,Keep
Germany,2023,Frozen Food,35756.15,38283.13,30.97,230.68,35.53,Keep
Germany,2023,Prepared Food,20786.5,17814.84,142.72,106.31,41.81,Keep
India,2023,Beverages,14758.58,13338.75,33.56,160.52,66.74,Keep
Japan,2024,Grains & Cereals,19189.67,20150.25,156.62,1231.21,32.35,Keep
Italy,2023,Grains & Cereals,2487.22,2017.79,112.9,1227.12,38.24,Keep
Mexico,2023,Bakery Items,3960.36,4234.44,167.1,1089.64,64.66,Keep
Turkey,2024,Prepared Food,8866.9,9119.73,128.34,352.17,60.37,Keep
UK,2024,Dairy Products,36564.4,33677.47,64.34,992.44,60.63,Keep
Russia,2023,Dairy Products,43481.64,40283.38,144.86,651.67,53.82,Keep
South Africa,2024,Beverages,33624.81,30426.47,35.77,1198.18,59.59,Keep
Indonesia,2023,Frozen Food,8867.9,7222.47,137.48,857.62,61.57,Keep
Indonesia,2023,Bakery Items,18588.87,18061.9,25.23,1249.78,43.33,Keep
Brazil,2023,Dairy Products,15200.39,16119.67,132.72,125.67,47.92,Keep
Brazil,2024,Fruits & Vegetables,18787.07,15252.67,89.87,855.05,36.33,Keep
Turkey,2023,Grains & Cereals,34994.12,40971.97,35.19,984.94,30.45,Keep
Turkey,2024,Grains & Cereals,30355.8,35915.63,174.13,426.38,68.35,Keep
Canada,2024,Frozen Food,20610.38,21082.9,109.55,668.71,61.27,Keep
UK,2023,Frozen Food,2165.59,2074.38,111.62,1101.04,62.61,Keep
Canada,2024,Dairy Products,44495.54,46433.4,146.32,306.97,63.58,Keep
Japan,2023,Dairy Products,2180.53,1824.97,97.89,1396.11,67.39,Keep
Saudi Arabia,2023,Dairy Products,42773.98,38199.7,165.69,435.98,30.31,Keep
Spain,2024,Beverages,46527,54495.22,178.06,73.3,56.22,Keep
UK,2023,Grains & Cereals,11067.52,12301.52,65.72,564.43,50.58,Keep
Turkey,2024,Dairy Products,41860.32,43008.54,77.71,918.54,58.22,Keep
Russia,2023,Beverages,8127.36,6730.21,21.22,481.47,44.69,Keep
Indonesia,2024,Fruits & Vegetables,11770.28,10025.89,74.83,31.92,49.44,Keep
Turkey,2023,Prepared Food,7476.49,7903.23,42.17,968.6,59.81,Keep
Japan,2024,Frozen Food,43702.75,47876.05,130.6,569.47,44.84,Keep
Turkey,2023,Beverages,36006.65,34868.11,186.3,18.6,62.31,Keep
USA,2023,Fruits & Vegetables,28884.65,26367.11,172.06,1203.82,59.63,Keep
Japan,2023,Grains & Cereals,41698,41346.57,108.68,1210.31,43.94,Keep
Argentina,2024,Beverages,18433.58,16555.94,23.24,506.24,34.41,Keep
Brazil,2024,Grains & Cereals,3817.6,3619.06,64.58,47.81,54.35,Keep
Japan,2023,Frozen Food,8938.91,10254.62,55.76,101.15,36.33,Keep
Saudi Arabia,2023,Beverages,29763.43,24929.14,113.06,789.98,54.73,Keep
Indonesia,2023,Beverages,16345.31,17255.24,78.52,1331.88,44.28,Keep
Australia,2024,Prepared Food,44030.37,39398.75,158.36,114.04,33.83,Keep
Italy,2024,Prepared Food,4938.5,5830.95,115.81,986.02,58.81,Keep
South Africa,2023,Bakery Items,21189.69,18966.1,27.27,268.98,67.19,Keep
Saudi Arabia,2024,Meat & Seafood,751.55,823.84,71.55,929.16,64.7,Keep
China,2024,Frozen Food,10652.69,9244.8,112.05,96.41,44.27,Keep
Argentina,2024,Dairy Products,8610.42,9827.8,157.57,366.84,63.26,Keep
Canada,2023,Fruits & Vegetables,13989.15,13444.84,162.74,840.78,60.99,Keep
Germany,2023,Bakery Items,44697.08,45781.16,134.39,324.89,36.02,Keep
Turkey,2023,Bakery Items,19131.17,15751.33,196.01,1328.66,62.45,Keep
Saudi Arabia,2024,Meat & Seafood,2040.82,1756.33,147.04,815.25,38.84,Keep
Mexico,2023,Prepared Food,35339.45,37949.35,29.39,598.35,36.17,Keep
South Africa,2024,Dairy Products,32550.33,33202.71,105.86,508.83,34.61,Keep
Germany,2023,Beverages,13552.15,11895.72,164.63,1135.79,56.47,Keep
Canada,2024,Bakery Items,16495.93,17457,49.11,843.34,54.05,Keep
Japan,2024,Beverages,49654.67,56043.32,88.07,920.95,31.05,Keep
France,2024,Dairy Products,24034.9,22397.06,113.47,22.76,47.6,Keep
South Africa,2024,Frozen Food,22627.61,26111.76,100.98,1286.39,47.63,Keep
Japan,2024,Frozen Food,45137.2,50353.69,97.62,196.99,60.8,Keep
Saudi Arabia,2024,Grains & Cereals,28350.62,23792.23,60.18,168.27,68.28,Keep
Indonesia,2023,Beverages,29047.61,28857.37,171.48,1357.26,37.13,Keep
USA,2023,Meat & Seafood,49989.46,52758.97,67.79,1059.46,34.59,Keep
Russia,2024,Beverages,21130.61,20784.29,188.42,444.93,63.5,Keep
Saudi Arabia,2023,Fruits & Vegetables,15727.37,17797.31,172.36,1043.82,60.43,Keep
China,2024,Dairy Products,16317.89,18756.47,121.58,221.47,32.13,Keep
Indonesia,2024,Grains & Cereals,29252.27,23592.89,115.09,575.22,63.47,Keep
USA,2023,Beverages,11413.81,10952.46,29.42,1282.89,42.5,Keep
Japan,2024,Prepared Food,31800.86,26061.76,187.07,167.89,61.25,Keep
South Africa,2024,Fruits & Vegetables,28859.11,24785.6,101.06,1001.72,47.8,Keep
Russia,2024,Meat & Seafood,15316.49,13959.37,33.17,544.98,46.42,Keep
USA,2024,Fruits & Vegetables,29599.16,24192.02,93.89,625.33,52.19,Keep
UK,2024,Beverages,47679.81,47791.63,23.65,1334.72,43.03,Keep
France,2023,Meat & Seafood,25448.39,22962.63,182.05,1084.4,45.56,Keep
USA,2024,Beverages,46686.12,49178.7,37.56,293.07,69.09,Keep
India,2023,Grains & Cereals,33660.2,27989.89,71.87,391.26,63.09,Keep
China,2023,Prepared Food,48007.8,50204.47,52.33,228.9,43,Keep
Japan,2023,Beverages,23393.81,22134.34,121.65,366.94,60.17,Keep
Indonesia,2024,Bakery Items,39720.21,32793.5,80.34,70.16,57.59,Keep
Brazil,2023,Fruits & Vegetables,10079.68,11226.08,24.38,347.24,62.2,Keep
Spain,2024,Prepared Food,26770.8,31303.22,142.51,1320.6,62.78,Keep
Canada,2024,Dairy Products,18679.54,17280.66,33.13,864.28,64.96,Keep
South Africa,2023,Frozen Food,13719.21,13662.63,192.54,843.3,54.05,Keep
Russia,2023,Prepared Food,36196.43,35330.42,165.71,1102.16,46.46,Keep
Turkey,2024,Dairy Products,10186.86,9369.44,89.42,848.93,54.29,Keep
Italy,2023,Meat & Seafood,42665.31,36254.52,153.62,1173.1,45.1,Keep
Italy,2024,Grains & Cereals,8173.54,9680.5,115.17,1173.09,30.69,Keep
Spain,2024,Frozen Food,49613.22,46843.72,26.81,1153.46,64.52,Keep
Spain,2024,Frozen Food,44565.93,47755.8,72.83,1054.08,36.24,Keep
Indonesia,2023,Beverages,32493.37,35980.75,160.15,622.32,36.15,Keep
UK,2023,Frozen Food,17989.88,17023.51,180.2,15.55,47.83,Keep
Australia,2024,Prepared Food,25202.25,29278.35,176.6,667.61,65.37,Keep
UK,2023,Bakery Items,7147.31,5759.76,194.18,879.39,63.85,Keep
UK,2023,Dairy Products,35346.01,35164.24,90.3,1377.34,38.37,Keep
Brazil,2024,Beverages,46185.83,39504.32,107.27,354.55,41.43,Keep
Argentina,2023,Beverages,20826.12,20816.3,136.16,989.19,31.86,Keep
Indonesia,2023,Dairy Products,35731.26,35463.59,57.22,1027.36,69.06,Keep
China,2024,Frozen Food,27479.16,26256.31,114.44,1205.01,31.89,Keep
France,2023,Prepared Food,8866.77,9231.98,29.46,138.08,61.23,Keep
Russia,2024,Dairy Products,18881.04,15728.72,192.86,716.36,57.52,Keep
Germany,2024,Bakery Items,24173.46,26831.34,149.3,1128.76,45.82,Keep
Saudi Arabia,2024,Dairy Products,12250.67,14096.2,167.43,278.51,32.25,Keep
Brazil,2023,Prepared Food,10507.84,12067.43,24.39,348.6,41,Keep
Mexico,2024,Dairy Products,35501.26,37451.09,113.41,839.1,36.13,Keep
India,2023,Meat & Seafood,31682.22,34419.23,125.04,515.79,67.23,Keep
Mexico,2024,Meat & Seafood,28795.12,30722.18,28.34,1105.68,47.06,Keep
France,2023,Frozen Food,49544.47,53191.19,22.54,791.14,64.93,Keep
South Korea,2024,Bakery Items,6164.64,6301.18,141.44,1346.58,54.48,Keep
Japan,2023,Prepared Food,17583.7,14602.34,83.05,685.5,44.63,Keep
South Korea,2024,Dairy Products,39583.18,43098.3,112.77,991.16,63.82,Keep
USA,2024,Meat & Seafood,19152.45,15679.6,136.23,179.83,47.56,Keep
Japan,2023,Bakery Items,43549.61,39176.19,122.33,1110.61,38.38,Keep
France,2024,Meat & Seafood,19377.14,21240.56,42.61,624.77,33.3,Keep
Argentina,2024,Frozen Food,28618.26,32690.25,167.11,956.93,59.78,Keep
UK,2023,Bakery Items,16276.69,16703.51,183.68,1011.68,55.11,Keep
India,2024,Prepared Food,16319.38,16600.71,155.21,123.64,69.59,Keep
India,2024,Bakery Items,13490.82,10997.21,48.18,45.98,42.32,Keep
China,2024,Dairy Products,9885.28,10090,193.59,155.89,34.05,Keep
South Africa,2023,Grains & Cereals,20302.19,20223.89,185.02,232.09,40.56,Keep
Italy,2023,Bakery Items,47373.36,55692.26,129.24,1101.3,45.11,Keep
Germany,2023,Beverages,21340.53,18787.62,120.91,1203.98,44.27,Keep
South Korea,2024,Meat & Seafood,6094.39,6039.23,81.14,1340.57,31.16,Keep
South Korea,2024,Prepared Food,35196.99,41710.61,40.34,1186.18,56.37,Keep
Germany,2023,Fruits & Vegetables,32504.2,30432.43,67.4,1350.33,33.03,Keep
China,2023,Bakery Items,12727.7,11221.47,130.86,459.11,55.8,Keep
USA,2023,Bakery Items,26305.75,30688.14,128.15,1090.64,51.16,Keep
USA,2023,Meat & Seafood,28762.81,23387.04,76.73,769.09,37.91,Keep
Mexico,2024,Prepared Food,39062.57,37034.2,50.69,263.79,62.12,Keep
USA,2023,Beverages,16197.32,17595.57,117.11,506.79,58.51,Keep
Saudi Arabia,2024,Dairy Products,39141.04,46408.66,102.53,1300.6,62.69,Keep
Brazil,2023,Prepared Food,25835.42,24080.3,166.84,74.73,56.25,Keep
USA,2023,Beverages,40308.13,39763.46,129.72,1150.25,48.03,Keep
France,2023,Meat & Seafood,17363.94,20058.8,104.17,1356.41,50.52,Keep
India,2024,Frozen Food,12982.7,13913.86,129.7,569.61,56.53,Keep
Brazil,2024,Prepared Food,29507.41,30625.79,89.02,601.24,55.77,Keep
USA,2024,Grains & Cereals,1901.13,2239.79,42.76,453.7,51.22,Keep
UK,2023,Beverages,10674.94,10306.22,89.03,78.38,54.07,Keep
Australia,2023,Bakery Items,19242.9,19706.14,75.46,1021.61,67.03,Keep
China,2023,Fruits & Vegetables,29295.27,24527.98,90.56,1391.16,34.26,Keep
Spain,2023,Fruits & Vegetables,49990.76,42801.82,31.59,105.47,52.11,Keep
Italy,2024,Grains & Cereals,28002.27,22590.63,49.68,604.05,53.84,Keep
Russia,2024,Bakery Items,3942.39,3890.65,149.88,61.35,31.28,Keep
Turkey,2024,Meat & Seafood,41534.44,36355.89,61.84,1280.08,59.48,Keep
Argentina,2024,Fruits & Vegetables,40044.04,35715.51,111.75,130.39,40.56,Keep
Turkey,2024,Beverages,18885.14,19560.38,115.2,294.63,35.49,Keep
China,2023,Meat & Seafood,34012.71,31826.08,71.36,542.32,36.16,Keep
Russia,2024,Grains & Cereals,42466.49,40712.08,62.88,671.81,54.53,Keep
South Africa,2024,Meat & Seafood,20928.26,24655.67,184.88,713.52,51.73,Keep
Italy,2024,Dairy Products,39133.39,40211.56,89.79,263.09,60.78,Keep
UK,2023,Prepared Food,2771.73,2709.71,137.36,806.38,44.61,Keep
Mexico,2023,Prepared Food,49852.33,49951.05,46.82,346.57,51.41,Keep
Turkey,2023,Meat & Seafood,39004.75,34266.95,30.61,738.34,65.58,Keep
Germany,2024,Bakery Items,19152.44,18329.72,126.57,189.89,43.54,Keep
India,2024,Prepared Food,8691.04,9861.66,146.93,299.45,64.34,Keep
Germany,2023,Bakery Items,2259.01,2390.27,114.47,343.08,66.88,Keep
Canada,2023,Dairy Products,19505.47,19105.95,76.06,782.7,67.83,Keep
Argentina,2023,Bakery Items,14903.6,14035.31,37.51,877.69,54.79,Keep
Canada,2023,Grains & Cereals,13958.86,11903.19,157.1,564.27,69.31,Keep
France,2023,Meat & Seafood,30862.8,28061.49,22.5,605.39,61.67,Keep
Japan,2023,Grains & Cereals,33076.62,27055.64,32.99,1075.06,66.78,Keep
South Korea,2024,Meat & Seafood,12538.16,11004.04,74.71,250.62,45.95,Keep
Indonesia,2023,Meat & Seafood,47916.19,56688.98,173.25,499.28,60.44,Keep
Argentina,2023,Frozen Food,49279.74,49982.07,166.35,852.67,65.08,Keep
Russia,2023,Fruits & Vegetables,1221.62,984.57,96.88,547.78,36.53,Keep
Germany,2024,Prepared Food,29489.02,30542.09,138.28,382.43,63.8,Keep
USA,2024,Grains & Cereals,2469.34,2547.15,65.18,1204.7,34.35,Keep
Saudi Arabia,2023,Meat & Seafood,26024.78,29269.93,29.33,576.62,60.99,Keep
Mexico,2024,Bakery Items,41051.02,47576.89,128.4,220.64,63.26,Keep
Turkey,2023,Prepared Food,46501.82,45442.62,109.76,23.36,64.43,Keep
USA,2023,Frozen Food,19710.77,18712.96,162.09,1231.96,42.06,Keep
Germany,2023,Beverages,14272.87,13616.01,45.6,857.44,31.5,Keep
Germany,2023,Beverages,2267.39,2004.48,184.53,417.62,58.03,Keep
South Korea,2023,Fruits & Vegetables,33972.57,38497.82,178.06,385.75,32.3,Keep
UK,2024,Prepared Food,9277.38,9834.82,32.39,670.16,49.04,Keep
South Korea,2024,Fruits & Vegetables,35696.79,32244.91,74.78,857.01,57.82,Keep
South Korea,2023,Bakery Items,15390.05,12457.12,38.01,662.54,39.01,Keep
France,2023,Prepared Food,25561.92,27983.11,153.81,305.69,41.21,Keep
Russia,2024,Fruits & Vegetables,48698.53,52480.03,178.45,1066.76,66.85,Keep
UK,2023,Bakery Items,29749.28,29411.3,199,1125.81,36.48,Keep
Saudi Arabia,2023,Prepared Food,10271.44,10902.15,130.23,342.36,59.77,Keep
South Africa,2023,Dairy Products,30586.38,28529.85,21.61,653.86,62.26,Keep
Australia,2024,Fruits & Vegetables,30169.17,24451.32,145.75,560.4,38.95,Keep
Italy,2023,Fruits & Vegetables,31640.72,35128.75,136.76,1095.91,56.7,Keep
Mexico,2024,Beverages,44657.84,39602.83,112.49,1186.47,57.8,Keep
Canada,2023,Beverages,38240.08,40202.81,81.28,1267.55,47.73,Keep
Canada,2024,Meat & Seafood,49289.97,45872.9,193.92,785.38,39.14,Keep
Germany,2023,Prepared Food,34123.41,28542.1,98.44,1087.99,42.48,Keep
Japan,2024,Grains & Cereals,32403.48,34763.83,86.95,1116.02,42.14,Keep
Argentina,2024,Frozen Food,45663.94,49092.95,193.39,1099.33,62.77,Keep
France,2023,Meat & Seafood,45741,53825.92,118.48,486.24,54.47,Keep
China,2024,Bakery Items,20898.45,18035.66,85.24,1037.91,69.63,Keep
Spain,2023,Frozen Food,44885.35,44685.57,168.07,1255.06,57.06,Keep
UK,2023,Beverages,48844.63,45591.87,155.9,252.03,60.28,Keep
Spain,2024,Prepared Food,34453.36,37407.49,129.69,401.37,39.76,Keep
Turkey,2023,Bakery Items,38423.54,38743.01,184.79,816.25,30.18,Keep
USA,2023,Grains & Cereals,27290.77,24428.52,132.97,913.05,53.23,Keep
South Korea,2024,Fruits & Vegetables,37078.59,39001.29,59.38,137.16,36.34,Keep
Argentina,2023,Prepared Food,6588.75,6546.04,117.77,415.85,33.41,Keep
Mexico,2023,Grains & Cereals,1807.34,1560.33,123.17,224.6,34.31,Keep
Saudi Arabia,2024,Fruits & Vegetables,46722.63,51041.87,32.36,1361.24,51.98,Keep
France,2023,Beverages,46815.03,40941.21,144.09,549.6,56.11,Keep
China,2024,Bakery Items,16024.39,16640.57,20.84,1030.14,50.39,Keep
India,2024,Frozen Food,15502.28,13784.37,131.25,1331.08,58.81,Keep
Russia,2024,Fruits & Vegetables,8983.06,10583.84,72.74,402,54.62,Keep
China,2023,Beverages,3712.38,3146.93,157.55,709.35,43.42,Keep
Japan,2023,Dairy Products,5114.3,4884.28,33.62,148.41,31.32,Keep
Indonesia,2024,Grains & Cereals,19616.76,16787.22,116.5,253.22,61.54,Keep
Canada,2024,Dairy Products,1999.43,2209.15,81.15,250.93,45.9,Keep
Mexico,2024,Beverages,43696.76,38169.41,104.85,1153.5,42,Keep
UK,2023,Grains & Cereals,17496.98,20725.2,85.12,1235.29,35.16,Keep
Italy,2024,Frozen Food,44426.82,39419.51,73.58,1397.97,53.59,Keep
Japan,2023,Dairy Products,9282.85,7976.85,44.24,253.85,59.5,Keep
Indonesia,2023,Bakery Items,4809.69,4984.28,39.14,107.84,60.11,Keep
Turkey,2023,Bakery Items,533.57,560.98,134.44,69.81,37.15,Keep
South Korea,2023,Bakery Items,17794.58,17921.04,20.63,904.78,61.89,Keep
Russia,2024,Prepared Food,6267.9,5730.43,182.82,1254.11,37.77,Keep
USA,2023,Prepared Food,35785.61,41521.98,150.06,163.45,41.76,Keep
China,2024,Frozen Food,45552.71,53739.43,156.02,270.5,67.96,Keep
Indonesia,2024,Frozen Food,44612.93,45623.52,93.88,1206.98,49.42,Keep
China,2024,Meat & Seafood,44313.75,48631.01,108.24,684.06,53.34,Keep
Turkey,2024,Fruits & Vegetables,5214.72,5805.35,52.33,1376.05,62.29,Keep
Saudi Arabia,2023,Prepared Food,38470.53,32336.93,186.34,372.01,35.22,Keep
Germany,2023,Meat & Seafood,36023.96,30105.02,39.73,1099.99,62.02,Keep
India,2023,Bakery Items,37698.37,36436.28,28.26,90.79,34.42,Keep
